RECORDID,EAS_ADDRESS_X_PARCEL_ID,BLKLOT
2020-008491BBN,395981,3258011
2020-008491BBN,395982,3258012
2020-008491BBN,396153,3265003
2020-008491BBN,396154,3265004
2020-008491BBN,395983,3258014
2020-008491BBN,395984,3258015
2020-008491BBN,395986,3258017
2020-008491BBN,395987,3258018
2020-008491BBN,395988,3258019
2020-008491BBN,395989,3258020
2020-008491BBN,396114,3262029
2020-008491BBN,396115,3262030
2020-008491BBN,396116,3263001
2020-008491BBN,396117,3263002
2020-008491BBN,395863,3250006
2020-008491BBN,395864,3250013
2020-008491BBN,395990,3258021
2020-008491BBN,395992,3258023
2020-008491BBN,395993,3258025
2020-008491BBN,395994,3258026
2020-008491BBN,395995,3258027
2020-008491BBN,396118,3263004
2020-008491BBN,396119,3263005
2020-008491BBN,577533,3263005
2020-008491BBN,396120,3263006
2020-008491BBN,396121,3263007
2020-008491BBN,396122,3263008
2020-008491BBN,396123,3263009
2020-008491BBN,395865,3250014
2020-008491BBN,395866,3250015
2020-008491BBN,395890,3252003
2020-008491BBN,395868,3251001
2020-008491BBN,395869,3251002
2020-008491BBN,395870,3251003
2020-008491BBN,395950,3257005
2020-008491BBN,395951,3257006
2020-008491BBN,395952,3257007
2020-008491BBN,395954,3257009
2020-008491BBN,395955,3257010
2020-008491BBN,395956,3257011
2020-008491BBN,396090,3262002
2020-008491BBN,396091,3262002A
2020-008491BBN,396093,3262004
2020-008491BBN,396094,3262005
2020-008491BBN,396095,3262006
2020-008491BBN,396125,3263011
2020-008491BBN,396126,3263012
2020-008491BBN,396128,3264001
2020-008491BBN,396129,3264002
2020-008491BBN,396130,3264003
2020-008491BBN,396131,3264004
2020-008491BBN,395871,3251004
2020-008491BBN,395872,3251004A
2020-008491BBN,395873,3251006
2020-008491BBN,395874,3251007
2020-008491BBN,395875,3251008
2020-008491BBN,395876,3251009
2020-008491BBN,395958,3257013
2020-008491BBN,395959,3257014
2020-008491BBN,395960,3257015
2020-008491BBN,395961,3257016
2020-008491BBN,559741,3257016A
2020-008491BBN,395962,3257017
2020-008491BBN,501678,3257017
2020-008491BBN,396096,3262007
2020-008491BBN,396097,3262008
2020-008491BBN,396098,3262009
2020-008491BBN,396100,3262011
2020-008491BBN,396101,3262012
2020-008491BBN,396102,3262013
2020-008491BBN,396132,3264005
2020-008491BBN,395877,3251009A
2020-008491BBN,395878,3251010
2020-008491BBN,395963,3257023
2020-008491BBN,395964,3257024
2020-008491BBN,395966,3257026
2020-008491BBN,395967,3257027
2020-008491BBN,395968,3257028
2020-008491BBN,395969,3257029
2020-008491BBN,396103,3262014
2020-008491BBN,396104,3262015
2020-008491BBN,396106,3262017
2020-008491BBN,396107,3262018
2020-008491BBN,396108,3262019
2020-008491BBN,396109,3262022
2020-008491BBN,395970,3257030
2020-008491BBN,395971,3258001
2020-008491BBN,396068,3261001
2020-008491BBN,396069,3261002
2020-008491BBN,396070,3261003
2020-008491BBN,396071,3261004
2020-008491BBN,396073,3261006
2020-008491BBN,396074,3261007
2020-008491BBN,396110,3262023
2020-008491BBN,396111,3262024
2020-008491BBN,396112,3262026
2020-008491BBN,396113,3262027
2020-008491BBN,395925,3253017
2020-008491BBN,395926,3254001
2020-008491BBN,396044,3260003
2020-008491BBN,396045,3260004
2020-008491BBN,396075,3261008
2020-008491BBN,396076,3261009
2020-008491BBN,396077,3261010
2020-008491BBN,396079,3261012
2020-008491BBN,396080,3261013
2020-008491BBN,396081,3261014
2020-008491BBN,395927,3254002
2020-008491BBN,395928,3254003
2020-008491BBN,395929,3254004
2020-008491BBN,395931,3254006
2020-008491BBN,395932,3254007
2020-008491BBN,395933,3254008
2020-008491BBN,396046,3260005
2020-008491BBN,396047,3260006
2020-008491BBN,396049,3260008
2020-008491BBN,396050,3260009
2020-008491BBN,396051,3260010
2020-008491BBN,396052,3260011
2020-008491BBN,396082,3261015
2020-008491BBN,396083,3261016
2020-008491BBN,396085,3261018
2020-008491BBN,396086,3261019
2020-008491BBN,396087,3261020
2020-008491BBN,396088,3261021
2020-008491BBN,395934,3254009
