RECORD_NO,ListingID
2022-003299STR,587678571260413129
2022-003333STR,604146903343607316
2022-003450STR,600743308886437311
2022-003485STR,6042966
2022-003504STR,550264519684293353
2022-003504STR,613738687146543070
2022-003562STR,43900521
2022-003562STR,608099901681169010
2022-003562STR,610446059445873563
2022-003562STR,43862687
2022-003576STR,584057713135689668
2022-003595STR,52488759
2022-003643STR,563777699127542663
2022-003644STR,50527557
2022-003644STR,614064500858307709
2022-003644STR,610224880185208698
2022-003687STR,589267721395984281
2022-003754STR,608179813357114879
2022-003755STR,611114209229658792
2022-003755STR,611080712887567223
2022-003756STR,609427251253965328
2022-003758STR,53674996
2022-003759STR,612287790306920303
2022-003762STR,617300500228176915
2022-003784STR,610796513857039795
2022-003820STR,601608794814096081
2022-003839STR,614390253925171673
2022-003839STR,43395762
2022-003872STR,613199460350211741
2022-003921STR,6105966
2022-003976STR,615549092613860674
2022-004036STR,556544651659057280
2022-004043STR,7983070
2022-004044STR,607466660685569771
2022-004045STR,51521830
2022-004050STR,598621336166970541
2022-004068STR,614573306097445101
2022-004084STR,621189092718331950
2022-004090STR,597198179407251720
2022-004095STR,26445292
2022-004095STR,619101443706168938
2022-004098STR,137129
2022-004099STR,614039257967281167
2022-004215STR,610412908350500754
2022-004237STR,620931035279211772
2022-004238STR,590075689872116140
2022-004257STR,605188872190777472
2022-004271STR,619222488531701521
2022-004279STR,54241538
2022-004282STR,582542348458250584
2022-004282STR,600591926029634502
2022-004282STR,600137259808003715
2022-004282STR,600594946635588626
2022-004283STR,595614939103177833
2022-004284STR,600854547422607779
2022-004304STR,583517885032205769
2022-004311STR,556454748937133504
2022-004325STR,44232692
2022-004325STR,619474714283785777
2022-004333STR,40059665
2022-004333STR,38850031
2022-004333STR,2496460
2022-004360STR,623185473412859986
2022-004432STR,617484890263976639
2022-004432STR,617452165515743153
2022-004432STR,617486252339953334
2022-004440STR,586835106282026134
2022-004459STR,612950738978791898
2022-004580STR,229319
2022-004588STR,54147727
2022-004618STR,628418232383567882
2022-004621STR,552249232066762071
2022-004625STR,589767
2022-004627STR,628210371770946031
2022-004632STR,26747021
2022-004645STR,621071033093123904
2022-004759STR,592996042163285981
2022-004768STR,6494231
2022-004772STR,631412293430001355
2022-004813STR,628488511039002262
2022-004813STR,628475675507957305
2022-004813STR,52933960
2022-004813STR,628494162734609280
2022-004857STR,3888294
