RECORD_NO,LISTING_ID,HOST_ID
2016-003713STR,32746725,1984693
2016-004213STR,4135201,1635200
2016-004630STR,1103797,6062220
2016-004677STR,13585679,78443561
2016-004682STR,12212013,12715408
2016-004726STR,11241173,237659
2016-004783STR,21165478,758670
2016-005286STR,28139208,
2016-005677STR,10684058,55193130
2016-005726STR,7558236,194540
2016-005944STR,10648093,54983982
2016-005996STR,12175415,56076559
2016-006081STR,582335,2867852
2016-006354STR,4358868,2335941
2016-006560STR,30817227,3617002
2016-006847STR,4359626,22630933
2016-006861STR,13066842,775473
2016-007024STR,14651109,90982770
2016-007151STR,11163409,57898551
2016-007361STR,32643853,198038138
2016-007378STR,752607,3958328
2016-007399STR,32871760,2919348
2016-007403STR,14265180,41182469
2016-007656STR,34018349,41094308
2016-007714STR,23709477,169165019
2016-007888STR,9471413,3964836
2016-008008STR,4121114,18151037
2016-008258STR,20424404,2666465
2016-008342STR,12679234,10226011
2016-008458STR,13220623,16010762
2016-008488STR,12172311,
2016-008489STR,7921739,7408876
2016-008531STR,15051965,56666480
2016-008597STR,39580721,23195770
2016-008695STR,3257979,16476062
2016-009034STR,13815533,10460597
2016-009182STR,10280573,50292803
2016-009199STR,8030646,7231087
2016-009314STR,2062696,4843181
2016-009377STR,20257125,133894957
2016-009458STR,15567704,100278291
2016-009459STR,10227655,52558265
2016-009531STR,15929798,103370502
2016-009580STR,13563865,78172368
2016-009906STR,109883,566147
2016-010187STR,7596529,9233155
2016-010204STR,2221057,11331176
2016-010730STR,31494299,237694205
2016-011054STR,10089183,11887055
2016-011831STR,14763705,92075817
2016-011871STR,9346814,42922912
2016-011944STR,1356129,13709338
2016-012178STR,13574259,30789097
2016-012203STR,15060615,95220454
2016-012314STR,13219968,25719685
2016-012318STR,15132855,53614586
2016-012484STR,16305055,106687468
2016-012524STR,19365066,26860112
2016-012531STR,21045694,30506212
2016-012666STR,10832099,12780961
2016-012830STR,16706877,110690066
2016-012901STR,15179182,861262
2016-012993STR,7009654,34268088
2016-013008STR,15920878,103297299
2016-013108STR,16173016,105578739
2016-013200STR,10088395,42138725
2016-013362STR,12853235,15449058
2016-013364STR,14619235,5043788
2016-013471STR,41980745,
2016-013547STR,20169868,12394710
2016-013559STR,14341440,5400272
2016-013675STR,6326133,
2016-013878STR,26832092,1889323
2016-013897STR,5068486,26173051
2016-013956STR,21022837,151399600
2016-014003STR,14268636,24091826
2016-014064STR,16068425,10784845
2016-014079STR,14802586,78451071
2016-014128STR,15641829,5117637
2016-014234STR,648086,3250518
2016-014278STR,4993804,4195316
2016-014330STR,14745298,909879
2016-014337STR,15512995,1865162
2016-014445STR,15621583,41578318
2016-014451STR,7038488,36905321
2016-014457STR,15662917,775963
2016-014471STR,17254515,14692056
2016-014473STR,15220043,64579077
2016-014771STR,13685131,79700074
2016-014800STR,9295965,48261523
2016-014816STR,7676566,28311107
2016-014823STR,18639196,128943312
2016-014833STR,1511076,2403646
2016-014844STR,14043110,84154713
2016-014907STR,17159806,115416158
2016-015011STR,19185162,234409
2016-015070STR,15069107,62907992
2016-015133STR,7341076,4249288
2016-015176STR,16052484,55971219
2016-015212STR,2950592,243725
2016-015662STR,7808104,41102404
2016-015944STR,14029901,2048437
2016-015948STR,15075530,1787588
2016-015949STR,18037180,80544181
2016-015990STR,30531625,21945886
2016-016346STR,16335125,7076264
2016-016381STR,21011508,45411465
2016-016577STR,16516337,3377789
2016-016591STR,16519220,5805679
2016-016620STR,1738415,3273603
2017-000191STR,16178751,3470491
2017-000194STR,19304903,8952012
2017-000203STR,18077642,863433
2017-000350STR,14705126,91464797
2017-000407STR,16330378,106895777
2017-000449STR,17157954,1281984
2017-000456STR,10517693,38351936
2017-000670STR,16649876,48785800
2017-000721STR,13600947,35102608
2017-000811STR,7715542,40534191
2017-000829STR,16653287,30747858
2017-000955STR,17753503,71333862
2017-001020STR,13687255,32534976
2017-001079STR,20281663,123931387
2017-001132STR,14266916,36287559
2017-001140STR,17408793,45156079
2017-001324STR,39901695,40966464
2017-001345STR,14913657,83483852
2017-001472STR,16244433,6703252
2017-001559STR,11190379,4152724
2017-001562STR,8904047,46574267
2017-001574STR,17424816,147099
2017-001575STR,18314694,123485258
2017-001610STR,17973795,9151990
2017-001636STR,40707679,33867526
2017-001806STR,2502543,12437454
2017-001912STR,15860973,6136360
2017-002145STR,713877,3675617
2017-002367STR,14804950,24949158
2017-002429STR,442397,2198311
2017-002481STR,11939561,1401824
2017-002569STR,3402610,71182743
2017-002575STR,18669935,17136474
2017-002781STR,17811571,15029266
2017-002817STR,8152867,10394065
2017-002819STR,29192965,40297300
2017-002837STR,7220035,37797558
2017-002856STR,15911270,103224738
2017-002918STR,18753198,130467604
2017-003028STR,45866598,
2017-003032STR,21170799,
2017-003085STR,38554836,119492097
2017-003168STR,17809833,3076837
2017-003292STR,7331464,32687481
2017-003486STR,11437138,
2017-003571STR,12999869,3617002
2017-003598STR,17626598,1782540
2017-003667STR,38317894,383029
2017-003820STR,23358468,5913788
2017-003870STR,17430696,117919835
2017-003948STR,12905538,70717919
2017-004122STR,18184143,13103932
2017-004255STR,15822076,68747156
2017-004794STR,17345722,
2017-004896STR,28055711,155250
2017-004957STR,20328358,
2017-005004STR,18567743,71570278
2017-005183STR,21730409,157074592
2017-005224STR,142177,656263
2017-005359STR,19588004,988375
2017-005449STR,18548006,51078965
2017-005462STR,19478755,131502074
2017-005496STR,2026910,7096906
2017-005634STR,2063077,9797614
2017-005636STR,18810290,129618781
2017-005722STR,17642091,6641931
2017-005737STR,18212346,125735523
2017-005770STR,616204,2806033
2017-005779STR,16336782,106951010
2017-005945STR,9150171,167143
2017-006017STR,334339,879042
2017-006037STR,21028247,28932312
2017-006045STR,18602265,795382
2017-006096STR,16435615,1624329
2017-006117STR,15835438,4256843
2017-006128STR,1003756,3347282
2017-006136STR,17982304,10263963
2017-006167STR,7226841,872803
2017-006361STR,18464444,7012008
2017-006582STR,18754189,128940936
2017-006734STR,34024828,136792470
2017-006752STR,41276735,222741453
2017-006879STR,37220176,
2017-006981STR,9108108,30865412
2017-006986STR,21313591,2566492
2017-007073STR,18737830,130349538
2017-007085STR,20762414,108691284
2017-007263STR,7972067,8290313
2017-007318STR,15005046,94659320
2017-007432STR,20573374,15028456
2017-007624STR,19140351,3773599
2017-007698STR,17723975,1934331
2017-007756STR,18757990,9956229
2017-007762STR,468751,2326926
2017-007769STR,18916029,33242464
2017-007858STR,21370662,115841608
2017-008316STR,1925206,9971829
2017-008452STR,18776764,
2017-008479STR,20852099,149498560
2017-008739STR,10925833,56637099
2017-008742STR,43836717,225170592
2017-008820STR,19949380,141391572
2017-008853STR,17097361,114734955
2017-009257STR,1076743,887032
2017-009411STR,20847212,126644773
2017-009506STR,5632452,20497687
2017-009733STR,19331975,135420210
2017-009860STR,28550959,129961318
2017-009944STR,24916302,22923465
2017-009953STR,14691164,31069921
2017-010041STR,17444964,34675376
2017-010173STR,27610705,566306
2017-010297STR,23577552,128169944
2017-010457STR,19407153,30713030
2017-010531STR,20149972,1364450
2017-010585STR,20195883,7934590
2017-011001STR,32473990,1469393
2017-011005STR,18567266,
2017-011010STR,27634232,19338074
2017-011133STR,20620600,44927
2017-011141STR,20873957,10622144
2017-011427STR,20696918,26700102
2017-011435STR,3442439,17349647
2017-011447STR,34626588,178494555
2017-011525STR,21327347,90139010
2017-011615STR,20967325,52830865
2017-011800STR,5933430,1808969
2017-012063STR,21280829,10234050
2017-012109STR,21694548,
2017-012202STR,20543892,3344835
2017-012203STR,1328186,7208147
2017-012205STR,10385321,40993599
2017-012245STR,99094,522225
2017-012252STR,12607119,68425495
2017-012476STR,7726184,4097204
2017-012561STR,11122531,3697779
2017-012587STR,27225440,252927
2017-012648STR,8276309,2113363
2017-012782STR,20269251,76784332
2017-012904STR,29130046,9578079
2017-012911STR,1683892,8903768
2017-012936STR,20424542,5009045
2017-013032STR,19954872,
2017-013041STR,20799337,
2017-013381STR,15759935,5466655
2017-013390STR,22396902,72308207
2017-013482STR,20393341,337960
2017-013607STR,21191232,153041033
2017-013758STR,21125429,149725836
2017-013834STR,4429527,7813710
2017-013866STR,33642479,44037033
2017-013989STR,23860519,179240427
2017-014056STR,6344500,5051753
2017-014099STR,14404663,2275870
2017-014151STR,21220773,3570084
2017-014184STR,19307356,1264413
2017-014258STR,39996459,281939482
2017-014279STR,4678599,3092240
2017-014320STR,8287266,43695190
2017-014337STR,19348868,8371224
2017-014407STR,20450156,145873215
2017-014449STR,21082676,5871824
2017-014489STR,21054696,16301581
2017-014495STR,21047729,576143
2017-014518STR,11435584,60086345
2017-014520STR,699723,469757
2017-014706STR,8155106,20856424
2017-014769STR,23291367,
2017-014769STR,41216907,
2017-014784STR,7968749,37731842
2017-014798STR,8762967,3155848
2017-014809STR,10632584,10313206
2017-014883STR,738547,3860047
2017-014903STR,24013866,
2017-015058STR,6913294,36229030
2017-015152STR,21529297,15293495
2017-015154STR,13774014,2993432
2017-015176STR,14540002,16854419
2017-015190STR,21964157,149797235
2017-015377STR,21297037,6267
2017-015439STR,8195144,41782662
2017-015461STR,21294317,68366081
2017-015555STR,18507365,3866027
2017-015628STR,10905721,15259486
2017-015634STR,13186688,15050419
2017-015897STR,10769424,30127937
2017-015905STR,11998353,48763599
2017-015906STR,21458837,15731948
2017-015937STR,24083593,17968214
2017-015999STR,21307662,1676998
2017-016002STR,21282635,4137005
2017-016058STR,28722160,151817615
2017-016061STR,7302136,38249439
2017-016066STR,17016637,106291188
2017-016130STR,32597111,
2017-016222STR,6430646,4098848
2017-016292STR,21425660,18349219
2017-016406STR,20768833,26071401
2017-016499STR,39372077,117987879
2017-016527STR,474107,2318089
2017-016533STR,14903530,90631
2017-016535STR,26928489,55550031
2017-016537STR,16052656,25707444
2018-000006STR,22690547,140678774
2018-000045STR,776239,4094089
2018-000052STR,279184,1456262
2018-000057STR,6822748,
2018-000061STR,16900525,4225463
2018-000064STR,6120540,31755831
2018-000065STR,21486593,32459054
2018-000072STR,1251570,
2018-000076STR,2677288,11233014
2018-000078STR,27870072,2440054
2018-000095STR,3271517,16388308
2018-000101STR,17287731,1097396
2018-000105STR,44234868,120815420
2018-000121STR,32293596,7630810
2018-000126STR,18529703,23679441
2018-000128STR,18898768,
2018-000137STR,6273036,3692515
2018-000139STR,19892991,140833338
2018-000141STR,19950230,275545
2018-000143STR,20649513,147666071
2018-000146STR,15258331,
2018-000148STR,890875,4374318
2018-000150STR,1429022,3653917
