RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2005.0989V,3/6/2006,Withdawn,,Withdawn
2005.0991C,1/12/2006,Approved,17172,Approved
2005.0994D,2/16/2006,Approved,,Approved
2005.0997A,3/7/2007,Approved,,Approved
2005.0998D,3/23/2006,Approved,,Approved
2005.0999C,1/5/2006,Disapproved,17169,Disapproved
2005.1000D,5/25/2006,Approved,,Approved
2005.1011C,1/6/2006,Cancelled,,Cancelled
2005.1014D,12/7/2006,Approved,,Approved
2005.1017D,3/1/2006,Withdawn,,Withdawn
2005.1018X,10/23/2008,Approved,,Approved
2005.1020D,1/26/2006,Approved,,Approved
2005.1021C,1/30/2009,Withdawn,,Withdawn
2005.1023C,8/21/2006,Approved,,Approved
2005.1024C,10/12/2006,Approved,17320,Approved
2005.1024C,10/12/2006,Approved,17320,Approved
2005.1027C,7/19/2006,Withdawn,,Withdawn
2005.1029D,1/19/2006,Approved,,Approved
2005.1029D_4,1/19/2006,Approved,,Approved
2005.1030C,6/29/2007,Cancelled,,Cancelled
2005.1034D,3/16/2006,Approved,,Approved
2005.1042D,3/19/2006,Withdawn,,Withdawn
2005.1044D_4,3/5/2008,Withdawn,,Withdawn
2005.1049C,2/9/2006,Disapproved,17185,Disapproved
2005.1051D,11/4/2005,Withdawn,,Withdawn
2005.1052D,2/16/2006,Approved,,Approved
2005.1055A,1/26/2006,Approved,,Approved
2005.1055C,2/23/2006,Approved,17191,Approved
2005.1056C,4/6/2006,Approved,17222,Approved
2005.1062B,6/7/2007,Approved,17440,Approved
2005.1066C,11/13/2008,Approved,,Approved
2005.1066P,11/13/2008,Approved,17761,Approved
2005.1068C,3/2/2006,Approved,17194,Approved
2005.1068X,3/2/2006,Approved,17193,Approved
2005.1070D,6/15/2006,Approved,,Approved
2005.1071C,4/27/2006,Approved,17239,Approved
2005.1076C,10/22/2009,Approved,17968,Approved
2005.1078C,11/30/2006,Approved,17344,Approved
2005.1081D,6/15/2006,Approved,,Approved
2005.1083D,1/12/2006,Approved,,Approved
2005.1084C,5/25/2006,Approved,17250,Approved
2005.1084V,5/25/2006,Approved,,Approved
2005.1085C,5/13/2010,Approved,,Approved
2005.1089C,3/16/2006,Approved,17209,Approved
2005.1090C,9/21/2006,Approved,17309,Approved
2005.1093D,7/28/2006,Approved,,Approved
2005.1094D,5/16/2006,Approved,,Approved
2005.1095C,11/1/2006,Withdawn,,Withdawn
2005.1098A,8/31/2006,Approved,,Approved
2005.1102D,2/15/2007,Approved,,Approved
2005.1103A,4/3/2006,Approved,,Approved
2005.1106C,7/16/2009,Approved,,Approved
2005.1109A,1/3/2006,Approved,,Approved
2005.1110C,10/23/2009,Withdawn,,Withdawn
2005.1112D,1/26/2006,Approved,,Approved
2005.1126D,4/20/2006,Approved,,Approved
2005.1127C,3/2/2006,Approved,17196,Approved
2005.1127X,3/2/2006,Approved,17195,Approved
2005.1129C,6/15/2006,Approved,17265,Approved
2005.1134D,6/7/2007,Approved,,Approved
2005.1143D,10/5/2006,Approved,,Approved
2005.1144D,2/23/2006,Approved,,Approved
2005.1145D,5/5/2006,Withdawn,,Withdawn
2005.1155D,5/16/2013,Approved,,Approved
2005.1155V,6/14/2013,Approved,,Approved
2005.1156D,2/19/2006,Withdawn,,Withdawn
2005.1157A,6/29/2006,Cancelled,,Cancelled
2005.1180D,2/16/2006,Approved,,Approved
2005.1181D,2/16/2006,Approved,,Approved
2005.1192D,9/14/2006,Approved,,Approved
2005.1195D,6/1/2006,Approved,,Approved
2005.1199X,2/20/2006,Approved,,Approved
2005.1201A,4/11/2006,Approved,,Approved
2005.1203C,4/27/2006,Approved,17235,Approved
2005.1204D,2/21/2011,Withdawn,,Withdawn
2005.1204V,1/19/2007,Cancelled,,Cancelled
2005.1205C,3/16/2006,Approved,17208,Approved
2005.1207D,5/25/2006,Approved,,Approved
2005.1208D,6/22/2006,Approved,,Approved
