RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1990.384C_2,8/23/1990,Approved,12005,Approved
1990.385C,9/20/1990,Approved,12027,Approved
1990.387A,7/18/1990,Approved,,Approved
1990.388C,4/2/1992,Approved,13329,Approved
1990.405C,1/31/1991,Approved,13004,Approved
1990.407C,12/19/1991,Approved,13228,Approved
1990.407C_2,11/29/1990,Approved,12078,Approved
1990.407V,1/31/1991,Approved,,Approved
1990.409V,1/11/1991,Approved,,Approved
1990.410A,7/18/1990,Approved,,Approved
1990.418C,10/4/1990,Approved,12051,Approved
1990.419D,1/16/1992,Approved,13250,Approved
1990.420V,2/13/1991,Approved,,Approved
1990.421V,8/3/1990,Approved,,Approved
1990.438V,1/23/1991,Approved,,Approved
1990.439V,10/16/2014,Approved,,Approved
1990.440C,10/4/1990,Disapproved,12049,Disapproved
1990.441C,10/4/1990,Approved,12050,Approved
1990.442C,8/22/1991,Approved,13155,Approved
1990.443P,4/18/1991,Approved,13061,Approved
1990.444P,11/29/1990,Approved,12085,Approved
1990.445P,11/29/1990,Approved,12084,Approved
1990.446V,1/23/1991,Approved,,Approved
1990.447C,3/28/1991,Approved,13048,Approved
1990.447V,1/3/1995,Approved,,Approved
1990.455V,9/7/1990,Withdawn,,Withdawn
1990.458C,9/20/1990,Approved,12031,Approved
1990.463C,10/4/1990,Approved,12052,Approved
1990.465C,9/20/1990,Disapproved,12030,Disapproved
1990.466A,9/5/1990,Approved,,Approved
1990.467V,12/21/1992,Disapproved,,Disapproved
1990.469V,1/22/1991,Approved,,Approved
1990.470A,8/1/1990,Approved,,Approved
1990.489V,9/9/1991,Disapproved,,Disapproved
1990.492C,9/16/1993,Cancelled,,Cancelled
1990.492V,9/16/1993,Cancelled,,Cancelled
1990.493C,11/1/1990,Approved,12059,Approved
1990.495V,2/25/1991,Approved,,Approved
1990.502V,2/25/1991,Approved,,Approved
1990.505V,2/15/1991,Approved,,Approved
1990.507V,7/26/1991,Approved,,Approved
1990.509V,12/6/1990,Approved,,Approved
1990.512A,8/15/1990,Approved,,Approved
1990.513C,12/12/1991,Approved,13221,Approved
1990.518C,1/3/1991,Withdawn,,Withdawn
1990.518V,12/6/1990,Withdawn,,Withdawn
1990.520V,2/2/1991,Approved,,Approved
1990.523V,5/15/1991,Approved,,Approved
1990.534V,8/13/1991,Approved,,Approved
1990.536A,9/5/1990,Approved,,Approved
1990.537A,9/5/1990,Approved,,Approved
1990.538V,1/15/1991,Approved,,Approved
1990.541C,5/2/1991,Approved,13073,Approved
1990.541V,7/2/1991,Approved,,Approved
1990.542V,8/26/1991,Approved,,Approved
1990.544C,4/30/1992,Approved,13345,Approved
1990.545V,2/15/1991,Approved,,Approved
1990.546V,3/13/1990,Approved,,Approved
1990.547A,9/5/1990,Approved,,Approved
1990.548V,2/15/1991,Approved,,Approved
1990.549V,2/20/1991,Approved,,Approved
1990.551D,4/25/1991,Approved,13065,Approved
1990.552D,4/25/1991,Approved,13066,Approved
1990.553D,4/25/1991,Approved,13067,Approved
1990.557P,10/25/1990,Approved,12057,Approved
1990.558A,9/19/1990,Approved,,Approved
1990.562A,9/5/1990,Approved,,Approved
1990.563A,10/3/1990,Approved,,Approved
1990.565C,3/21/1991,Approved,13043,Approved
1990.566V,6/18/1991,Approved,,Approved
1990.567V,2/15/1991,Approved,,Approved
1990.568B,7/23/1992,Approved,13381,Approved
1990.568V,5/8/1992,Approved,,Approved
1990.569V,4/15/1991,Approved,,Approved
1990.570V,2/25/1991,Disapproved,,Disapproved
1990.573V,4/1/1991,Approved,,Approved
1990.574C,1/10/1991,Approved,12093,Approved
1990.576V,4/19/1991,Approved,,Approved
1990.577V,2/20/1991,Disapproved,,Disapproved
1990.578V,6/26/1992,Approved,,Approved
1990.579D,2/14/1991,Approved,13016,Approved
1990.581V,2/20/1991,Disapproved,,Disapproved
1990.582V,2/27/1991,Approved,,Approved
1990.583C,2/21/1991,Approved,13025,Approved
1990.585D,10/14/1993,Approved,,Approved
1990.599C,2/6/1992,Approved,13272,Approved
1990.600V,4/22/1991,Disapproved,,Disapproved
1990.601V,7/17/1991,Approved,,Approved
1990.612X,11/8/1990,Approved,12066,Approved
1990.613V,6/18/1991,Approved,,Approved
1990.614C,8/27/1992,Approved,13402,Approved
1990.617V,7/22/1991,Approved,,Approved
1990.620D,2/27/1992,Approved,13294,Approved
1990.623A,10/3/1990,Approved,,Approved
1990.625V,11/2/1990,Approved,,Approved
1990.626V,5/15/1991,Approved,,Approved
1990.631C,3/28/1991,Approved,13050,Approved
1990.632V,2/28/1991,Approved,,Approved
1990.633C,1/31/1991,Approved,13010,Approved
1990.634V,7/17/1991,Disapproved,,Disapproved
1990.635D,9/19/1991,Approved,13173,Approved
1990.636D,9/19/1991,Approved,13174,Approved
1990.637D,9/19/1991,Approved,13175,Approved
1990.643V,5/20/1991,Approved,,Approved
1990.644V,3/6/1991,Approved,,Approved
1990.647V,1/23/1991,Approved,,Approved
1990.651V,7/15/1991,Approved,,Approved
1990.652A,11/7/1990,Approved,,Approved
1990.653C,8/15/1991,Approved,13138,Approved
1990.654C,1/17/1991,Approved,13000,Approved
1990.655C,10/30/1992,Cancelled,,Cancelled
1990.656C,1/23/1992,Approved,13257,Approved
1990.656V,2/10/1992,Approved,,Approved
1990.657C,3/29/1993,Withdawn,,Withdawn
1990.658V,5/6/1991,Approved,,Approved
1990.663D,4/23/1992,Approved,13341,Approved
1990.700C,2/28/1991,Approved,13028,Approved
1990.701C,1/24/1991,Approved,13001,Approved
1990.702V,6/18/1991,Approved,,Approved
1990.703V,2/11/1991,Approved,,Approved
1990.718V,5/28/1992,Approved,,Approved
1990.737C,5/23/1991,Approved,13087,Approved
1990.738V,4/15/1991,Approved,,Approved
1990.739V,5/2/1991,Approved,,Approved
1990.740V,6/18/1991,Approved,,Approved
1990.741C,8/1/1991,Approved,13141,Approved
1990.741V,8/20/1991,Approved,,Approved
1990.747C,1/9/1992,Approved,13237,Approved
1990.748V,6/3/1991,Approved,,Approved
1990.749V,4/9/1991,Approved,,Approved
1990.750V,3/27/1991,Approved,,Approved
1990.755C,6/6/1991,Approved,13095,Approved
1990.755V,6/13/1991,Approved,,Approved
1990.757C,5/2/1991,Approved,13078,Approved
1990.758C,4/9/1992,Approved,,Approved
1990.758C_2,10/31/1991,Approved,13193,Approved
1990.760V,7/23/1991,Approved,,Approved
1990.760X,7/11/1991,Approved,13123,Approved
1990.760X_2,3/24/1994,Approved,13662,Approved
1990.761V,6/15/1991,Approved,,Approved
1990.762V,7/29/1991,Approved,,Approved
1990.763C,3/14/1991,Approved,13032,Approved
1990.773V,7/15/1991,Approved,,Approved
1990.775V,6/11/1993,Approved,,Approved
1990.776C,10/29/1992,Approved,13421,Approved
1990.776V,10/29/1992,Approved,,Approved
1990.778V,4/30/1991,Approved,,Approved
1990.786V,8/2/1991,Approved,,Approved
1990.787V,1/31/1992,Approved,,Approved
1990.790V,5/15/1991,Approved,,Approved
1990.791V,6/5/1991,Approved,,Approved
1990.794C,12/12/1991,Approved,13223,Approved
1990.795A,3/6/1991,Approved,,Approved
1990.795V,7/26/1991,Approved,,Approved
1990.796V,4/30/1991,Approved,,Approved
1990.797V,5/15/1991,Approved,,Approved
1990.798C,4/4/1991,Approved,13053,Approved
1990.802C,8/29/1991,Approved,13165,Approved
1990.803A,12/19/1990,Approved,,Approved
1990.805A,12/19/1990,Approved,,Approved
1990.806A,12/19/1990,Approved,,Approved
1990.807C,3/11/1993,Approved,13482,Approved
1990.807C_2,10/17/1991,Approved,13189,Approved
1990.807V,8/4/1992,Approved,,Approved
1990.808V,3/23/1992,Approved,,Approved
1990.809X,2/14/1991,Approved,13015,Approved
1990.810C,1/17/1991,Approved,12099,Approved
1990.811C,4/9/1992,Approved,,Approved
1990.811C_2,9/12/1991,Approved,13169,Approved
1990.811V,11/12/1991,Approved,,Approved
1990.812C,3/21/1991,Approved,13046,Approved
1990.814C,7/25/1991,Approved,13138,Approved
1990.815V,6/18/1991,Approved,,Approved
1990.821D,3/28/1991,Approved,13047,Approved
1990.824V,5/27/1991,Withdawn,,Withdawn
1990.826V,9/30/1991,Approved,,Approved
1990.830A,2/6/1991,Approved,,Approved
1990.845C,4/30/1991,Withdawn,,Withdawn
1990.846C,8/15/1991,Approved,13154,Approved
1990.847V,7/22/1991,Approved,,Approved
1990.848V,2/20/1992,Approved,,Approved
1990.850C,4/2/1992,Approved,13328,Approved
1990.851C,9/17/1992,Approved,13408,Approved
1990.852C,8/1/1991,Approved,13143,Approved
1990.853A,2/6/1991,Approved,,Approved
1991.001V,7/17/1991,Disapproved,,Disapproved
1991.003C,5/2/1991,Approved,13072,Approved
1991.004A,1/16/1991,Approved,,Approved
1991.005V,7/23/1991,Approved,,Approved
1991.006X,10/16/2014,Approved,,Approved
1991.008V,7/8/1991,Approved,,Approved
1991.010D,7/18/1991,Approved,13131,Approved
1991.011C,11/5/1992,Approved,13425,Approved
1991.012C,11/7/1991,Approved,13196,Approved
1991.013V,5/3/1991,Approved,,Approved
1991.019V,7/17/1991,Withdawn,,Withdawn
1991.020C,6/23/1992,Withdawn,,Withdawn
1991.020C_2,6/23/1992,Withdawn,,Withdawn
1991.020V,6/23/1992,Withdawn,,Withdawn
1991.021V,7/17/1991,Approved,,Approved
1991.022C,9/19/1991,Approved,13177,Approved
1991.024V,7/23/1991,Approved,,Approved
1991.025V,7/23/1991,Approved,,Approved
1991.026C,4/4/1991,Approved,13051,Approved
1991.027V,12/10/1991,Approved,,Approved
1991.028V,5/22/1991,Approved,,Approved
1991.030D,7/18/1991,Approved,13132,Approved
1991.031A,1/23/1992,Approved,13256,Approved
1991.034D,5/9/1991,Approved,13108,Approved
1991.035D,5/9/1991,Approved,13109,Approved
1991.036V,7/26/1991,Approved,,Approved
1991.050V,7/29/1991,Approved,,Approved
1991.054C,5/2/1991,Approved,13075,Approved
1991.056V,7/22/1991,Approved,,Approved
1991.058C,4/11/1991,Approved,13057,Approved
1991.060D,8/1/1991,Approved,,Approved
1991.061D,12/5/1991,Approved,13215,Approved
1991.063V,10/2/1991,Approved,,Approved
1991.072A,3/20/1991,Approved,,Approved
1991.073C,4/11/1991,Approved,13058,Approved
1991.073C_2,7/28/1994,Approved,13738,Approved
1991.074C_2,1/23/1992,Approved,13256,Approved
1991.077C,5/21/1992,Approved,,Approved
1991.078C,4/18/1991,Approved,13064,Approved
1991.078V,5/22/1991,Approved,,Approved
1991.079V,6/4/1991,Approved,,Approved
1991.085V,8/27/1991,Approved,,Approved
1991.096C,3/21/1991,Approved,13045,Approved
1991.104C,6/6/1991,Approved,13098,Approved
1991.105A,2/20/1991,Approved,,Approved
1991.106A,2/10/1991,Approved,,Approved
1991.114C,8/29/1991,Disapproved,13166,Disapproved
1991.115V,10/22/1991,Approved,,Approved
1991.116A,3/20/1991,Approved,,Approved
1991.119A,3/20/1991,Approved,,Approved
1991.121A,3/25/1993,Approved,13487,Approved
1991.121C,3/25/1993,Approved,,Approved
1991.123V,5/24/1991,Approved,,Approved
1991.124V,7/29/1991,Disapproved,,Disapproved
1991.128C,5/30/1991,Approved,13093,Approved
1991.128V,6/12/1991,Approved,,Approved
1991.135V,9/9/1991,Approved,,Approved
1991.141C,9/12/1991,Approved,13170,Approved
1991.142X,4/22/1991,Approved,,Approved
1991.143V,11/12/1991,Approved,,Approved
1991.144C,11/21/1991,Approved,13209,Approved
1991.144V,12/17/1991,Approved,,Approved
1991.158V,7/9/1991,Approved,,Approved
1991.164C,1/23/1992,Approved,13259,Approved
1991.165V,8/9/1991,Approved,,Approved
1991.167V,8/26/1991,Approved,,Approved
1991.169C,6/6/1991,Approved,13099,Approved
1991.210D,7/18/1991,Approved,13127,Approved
1991.212V,8/12/1991,Approved,,Approved
1991.213C,6/27/1991,Approved,13119,Approved
1991.221C,1/9/1992,Approved,13241,Approved
1991.222V,7/8/1991,Disapproved,,Disapproved
1991.224V,9/18/1991,Approved,,Approved
1991.225C,1/9/1992,Approved,13236,Approved
1991.226V,7/17/1991,Withdawn,,Withdawn
1991.227V,9/6/1991,Approved,,Approved
1991.228V,10/16/2014,Withdawn,,Withdawn
1991.229V,7/18/1991,Approved,,Approved
1991.230V,9/18/1991,Disapproved,,Disapproved
1991.231V,3/6/1992,Approved,,Approved
1991.232V,8/12/1991,Approved,,Approved
1991.233C,6/27/1991,Approved,13120,Approved
1991.234C,11/7/1991,Approved,13195,Approved
1991.237D,7/18/1991,Approved,13132,Approved
1991.238D,7/18/1991,Approved,13132,Approved
1991.239D,7/18/1991,Approved,13128,Approved
1991.242C,7/18/1991,Approved,13134,Approved
1991.243X,6/27/1991,Approved,13115,Approved
1991.244V,8/23/1991,Approved,,Approved
1991.247C,8/1/1991,Approved,13140,Approved
1991.248C_2,11/14/1991,Approved,13204,Approved
1991.250A,5/1/1991,Approved,,Approved
1991.257D,5/30/1991,Approved,13089,Approved
1991.258C,7/18/1991,Approved,13133,Approved
1991.259V,11/12/1991,Disapproved,,Disapproved
1991.261V,1/27/1992,Approved,,Approved
1991.262V,9/18/1991,Approved,,Approved
1991.265C,7/18/1991,Approved,13135,Approved
1991.270D,10/24/1992,Withdawn,,Withdawn
1991.273C,8/8/1991,Disapproved,13147,Disapproved
1991.284C,12/19/1991,Approved,13229,Approved
1991.285V,10/17/1991,Approved,,Approved
1991.286V,11/12/1991,Approved,,Approved
1991.289D,4/16/1987,Approved,,Approved
1991.290V,12/3/1991,Disapproved,,Disapproved
1991.291C,8/29/1991,Disapproved,13163,Disapproved
1991.293C,2/13/1992,Approved,13281,Approved
1991.293V,1/10/1994,Approved,,Approved
1991.299V,10/23/1991,Approved,,Approved
1991.300V,9/18/1991,Approved,,Approved
1991.303V,11/12/1991,Approved,,Approved
1991.304V,11/22/1991,Approved,,Approved
1991.308V,11/12/1991,Approved,,Approved
1991.309V,11/13/1991,Approved,,Approved
1991.313C,6/27/1991,Approved,13118,Approved
1991.322V,11/20/1991,Approved,,Approved
1991.324V,11/12/1991,Approved,,Approved
1991.325C,9/12/1991,Approved,13171,Approved
1991.326V,2/20/1992,Approved,,Approved
1991.336C,10/24/1991,Approved,13191,Approved
1991.337C,4/2/1992,Disapproved,13326,Disapproved
1991.338V,9/18/1991,Approved,,Approved
1991.339C,2/13/1992,Approved,13278,Approved
1991.339V,6/24/1992,Approved,,Approved
1991.345V,11/13/1991,Approved,,Approved
1991.346V,11/25/1991,Approved,,Approved
1991.348V,12/13/1991,Approved,,Approved
1991.357C,8/8/1991,Approved,13146,Approved
1991.358V,12/3/1991,Approved,,Approved
1991.362V,7/24/1992,Approved,,Approved
1991.363V,12/18/1991,Approved,,Approved
1991.364V,1/27/1992,Approved,,Approved
1991.365C,11/19/1992,Approved,,Approved
1991.369V,1/30/1992,Approved,,Approved
1991.370V,1/30/1992,Approved,,Approved
1991.371V,2/3/1992,Approved,,Approved
1991.372C,8/15/1991,Approved,13152,Approved
1991.373C,8/22/1991,Approved,13157,Approved
1991.374V,10/31/1991,Withdawn,,Withdawn
1991.375C,2/13/1992,Approved,13282,Approved
1991.383D,9/19/1991,Approved,13176,Approved
1991.385V,10/22/1991,Approved,,Approved
1991.386V,12/5/1991,Approved,,Approved
1991.387V,12/20/1991,Approved,,Approved
1991.388V,3/17/1992,Approved,,Approved
1991.390V,11/21/1991,Approved,,Approved
1991.391C,10/10/1991,Approved,13187,Approved
1991.392V,3/17/1992,Approved,,Approved
1991.396P,10/24/1991,Approved,,Approved
1991.400V,3/11/1992,Approved,,Approved
1991.403V,3/18/1992,Approved,,Approved
1991.408V,12/9/1991,Approved,,Approved
1991.409V,12/10/1991,Approved,,Approved
1991.415V,7/10/1992,Approved,,Approved
1991.430V,2/20/1992,Approved,,Approved
1991.431C,10/3/1991,Approved,13184,Approved
1991.441C,11/21/1991,Approved,13212,Approved
1991.442V,12/9/1991,Approved,,Approved
1991.443C,1/16/1992,Approved,13249,Approved
1991.443V,4/29/1992,Approved,,Approved
1991.444V,1/7/1992,Approved,,Approved
1991.445C,1/6/1994,Approved,13620,Approved
1991.446V,2/21/1992,Approved,,Approved
1991.447V,2/20/1992,Approved,,Approved
1991.448C,10/10/1991,Approved,13185,Approved
1991.449V,9/25/1992,Withdawn,,Withdawn
1991.451V,12/9/1991,Approved,,Approved
1991.452V,10/2/1992,Withdawn,,Withdawn
1991.453V,2/20/1992,Approved,,Approved
1991.454A,1/23/1993,Approved,13256,Approved
1991.454V,4/22/1997,Approved,,Approved
1991.460V,2/21/1992,Approved,,Approved
1991.462V,10/27/1992,Approved,,Approved
1991.463C,12/12/1991,Approved,13222,Approved
1991.465C,1/16/1992,Approved,13253,Approved
1991.472D,11/21/1991,Approved,13208,Approved
1991.474C,11/21/1991,Approved,13210,Approved
1991.475C,8/2/1993,Withdawn,,Withdawn
1991.476V,12/11/1991,Approved,,Approved
1991.484V,3/10/1992,Approved,,Approved
1991.485V,1/13/1992,Approved,,Approved
1991.498C,4/7/1992,Withdawn,,Withdawn
1991.499C,12/5/1991,Approved,13219,Approved
1991.500V,12/18/1991,Approved,,Approved
1991.502C,11/21/1991,Disapproved,13217,Disapproved
1991.504V,3/11/1992,Approved,,Approved
1991.506C,12/19/1991,Approved,13233,Approved
1991.507V,2/19/1992,Approved,,Approved
1991.508V,3/16/1992,Approved,,Approved
1991.509C,3/19/1992,Approved,13319,Approved
1991.510V,3/17/1992,Approved,,Approved
1991.511C,2/6/1992,Approved,13273,Approved
1991.512C,5/7/1992,Approved,13347,Approved
1991.514C,3/25/1996,Withdawn,,Withdawn
1991.517C,1/30/1992,Approved,13263,Approved
1991.520D,2/27/1992,Approved,13293,Approved
1991.526V,2/20/1992,Approved,,Approved
1991.527V,3/11/1992,Disapproved,,Disapproved
1991.530C,11/21/1991,Disapproved,13211,Disapproved
1991.539V,3/16/1992,Approved,,Approved
1991.540C,12/19/1991,Approved,13232,Approved
1991.559V,3/11/1992,Approved,,Approved
1991.560C,1/9/1992,Approved,13248,Approved
1991.568D,1/30/1992,Approved,,Approved
1991.577C,12/19/1991,Approved,13234,Approved
1991.585A,1/30/1992,Approved,13268,Approved
1991.585X,1/30/1992,Approved,13267,Approved
1991.586V,11/20/1992,Approved,,Approved
1991.590V,4/2/1992,Approved,,Approved
1991.591C,1/30/1992,Approved,13265,Approved
1991.592V,3/16/1992,Approved,,Approved
1991.593V,2/20/1992,Approved,,Approved
1991.594V,3/18/1992,Approved,,Approved
1991.595C,1/9/1992,Approved,13244,Approved
1991.596V,3/26/1992,Approved,,Approved
1991.600V,3/5/1992,Approved,,Approved
1991.601P,11/15/1991,Approved,,Approved
1991.602V,3/12/1992,Approved,,Approved
1991.604V,3/17/1992,Approved,,Approved
1991.605D,2/27/1992,Approved,13292,Approved
1991.607V,5/22/1992,Approved,,Approved
1991.622V,11/18/1991,Approved,,Approved
1991.623V,11/25/1991,Approved,,Approved
1991.624C,1/23/1992,Approved,13261,Approved
1991.625C,12/19/1991,Approved,13235,Approved
1991.626V,11/23/1992,Approved,,Approved
1991.629V,6/1/1992,Approved,,Approved
1991.635C,6/18/1992,Approved,13366,Approved
1991.636V,3/17/1992,Approved,,Approved
1991.637C,1/9/1992,Approved,13239,Approved
1991.638V,5/28/1992,Approved,,Approved
1991.639C,2/6/1992,Approved,13276,Approved
1991.643V,3/13/1992,Approved,,Approved
1991.644C,2/27/1992,Approved,13299,Approved
1991.645V,3/19/1992,Approved,,Approved
1991.646V,3/17/1992,Approved,,Approved
1991.652D,2/27/1992,Approved,13290,Approved
1991.667V,8/7/1992,Approved,,Approved
1991.668D,1/16/1992,Approved,13251,Approved
1991.674V,8/5/1992,Approved,,Approved
1991.675V,5/18/1992,Approved,,Approved
1991.676V,5/12/1992,Approved,,Approved
1991.677C,1/9/1992,Approved,13245,Approved
1991.678C,1/9/1992,Approved,13246,Approved
1991.680C,2/27/1992,Approved,13298,Approved
1991.686C,2/6/1992,Approved,13275,Approved
1991.687D,1/16/1992,Approved,13252,Approved
1991.698C,2/6/1992,Approved,13274,Approved
1991.704V,6/1/1992,Approved,,Approved
1991.704X,4/2/1992,Approved,13330,Approved
1991.705V,2/26/1993,Disapproved,,Disapproved
1991.706C,1/9/1992,Approved,13247,Approved
1991.710C,1/23/1992,Approved,13260,Approved
1991.714C,3/19/1992,Approved,13318,Approved
1991.715C,5/27/1993,Approved,13531,Approved
1991.727C,2/13/1992,Disapproved,13284,Disapproved
1991.734V,5/21/1992,Approved,,Approved
1991.743V,5/11/1992,Approved,,Approved
1991.744C,6/19/1992,Withdawn,,Withdawn
1991.746C,9/24/1992,Approved,13410,Approved
1991.763C,3/26/1992,Approved,13323,Approved
1991.764C,2/27/1992,Approved,13291,Approved
1991.767C,2/13/1992,Approved,13285,Approved
1992.001C,2/13/1992,Approved,13283,Approved
