RECORD_ID,REGISTER,STR
2015-004365STR,STR-0000375,375
2015-004460STR,STR-0000376,376
2015-004420STR,STR-0000377,377
2015-005455STR,STR-0000378,378
2015-005436STR,STR-0000379,379
2015-005483STR,STR-0000380,380
2015-003382STR,STR-0000381,381
2015-004177STR,STR-0000382,382
2015-005508STR,STR-0000383,383
2015-005489STR,STR-0000384,384
2015-002603STR,STR-0000385,385
2015-003432STR,STR-0000386,386
2015-001437STR,STR-0000387,387
2015-003414STR,STR-0000388,388
2015-003415STR,STR-0000389,389
2015-004237STR,STR-0000390,390
2015-004276STR,STR-0000391,391
2015-004283STR,STR-0000392,392
2015-004129STR,STR-0000393,393
2015-004291STR,STR-0000394,394
2015-005369STR,STR-0000395,395
2015-005077STR,STR-0000396,396
2015-004625STR,STR-0000397,397
2015-003693STR,STR-0000398,398
2015-003459STR,STR-0000399,399
2015-003628STR,STR-0000400,400
2015-004181STR,STR-0000401,401
2015-004534STR,STR-0000402,402
2015-004635STR,STR-0000403,403
2015-004539STR,STR-0000404,404
2015-004620STR,STR-0000405,405
2015-004757STR,STR-0000406,406
2015-005088STR,STR-0000407,407
2015-005086STR,STR-0000408,408
2015-004528STR,STR-0000409,409
2015-004606STR,STR-0000410,410
2015-005112STR,STR-0000411,411
2015-005278STR,STR-0000412,412
2015-005349STR,STR-0000413,413
2015-005774STR,STR-0000414,414
2015-005617STR,STR-0000415,415
2015-005739STR,STR-0000416,416
2015-005758STR,STR-0000417,417
2015-005146STR,STR-0000419,419
2015-005707STR,STR-0000420,420
2015-005472STR,STR-0000421,421
2015-005286STR,STR-0000422,422
2015-005784STR,STR-0000423,423
2015-005791STR,STR-0000424,424
2015-001626STR,STR-0000425,425
2015-004482STR,STR-0000426,426
2015-004485STR,STR-0000427,427
2015-004487STR,STR-0000428,428
2015-004503STR,STR-0000429,429
2015-005644STR,STR-0000430,430
2015-004665STR,STR-0000431,431
2015-004497STR,STR-0000432,432
2015-004393STR,STR-0000433,433
2015-004398STR,STR-0000434,434
2015-004399STR,STR-0000435,435
2015-004716STR,STR-0000436,436
2015-004409STR,STR-0000437,437
2015-004412STR,STR-0000438,438
2015-004336STR,STR-0000439,439
2015-004337STR,STR-0000440,440
2015-004338STR,STR-0000441,441
2015-005085STR,STR-0000442,442
2015-004440STR,STR-0000443,443
2015-004712STR,STR-0000444,444
2015-004354STR,STR-0000445,445
2015-004273STR,STR-0000446,446
2015-004387STR,STR-0000447,447
2015-004597STR,STR-0000448,448
2015-004602STR,STR-0000449,449
2015-004689STR,STR-0000450,450
2015-004692STR,STR-0000451,451
2015-005677STR,STR-0000452,452
2015-005736STR,STR-0000453,453
2015-006033STR,STR-0000454,454
2015-005648STR,STR-0000455,455
2015-005645STR,STR-0000456,456
2015-003604STR,STR-0000457,457
2015-001233STR,STR-0000458,458
2015-003717STR,STR-0000459,459
2015-002915STR,STR-0000460,460
2015-006280STR,STR-0000461,461
2015-006272STR,STR-0000462,462
2015-006103STR,STR-0000463,463
2015-007069STR,STR-0000464,464
2015-007074STR,STR-0000465,465
2015-006963STR,STR-0000466,466
2015-007283STR,STR-0000467,467
2015-006168STR,STR-0000468,468
2015-007324STR,STR-0000469,469
2015-009262STR,STR-0000470,470
2015-009641STR,STR-0000471,471
2015-010120STR,STR-0000472,472
2015-010752STR,STR-0000473,473
2015-010771STR,STR-0000474,474
2015-010748STR,STR-0000475,475
2015-004388STR,STR-0000476,476
2015-005705STR,STR-0000477,477
2015-002287STR,STR-0000478,478
2015-011140STR,STR-0000479,479
2015-011046STR,STR-0000480,480
2015-013013STR,STR-0000482,482
2015-011282STR,STR-0000483,483
2015-013030STR,STR-0000484,484
2015-013058STR,STR-0000485,485
2015-013060STR,STR-0000486,486
2015-012689STR,STR-0000487,487
2015-008572STR,STR-0000488,488
