RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2009.0007C,4/15/2010,Withdawn,N/A,Withdawn
2009.0016C,4/16/2009,Approved,,Approved
2009.0029C,5/28/2010,Approved,,Approved
2009.0035D,11/27/2012,Approved,,Approved
2009.0035D_4,11/27/2012,Approved,,Approved
2009.0038D,2/5/2009,Approved,,Approved
2009.0041C,4/2/2009,Approved,,Approved
2009.0047C,7/15/2010,Approved,18148,Approved
2009.0050D,12/2/2009,Withdawn,,Withdawn
2009.0053V,4/29/2010,Cancelled,N/A,Cancelled
2009.0057C,6/18/2009,Approved,,Approved
2009.0061C,4/2/2009,Approved,,Approved
2009.0062D,9/17/2009,Approved,DRA-0104,Approved
2009.0064D,3/28/2013,Cancelled,,Cancelled
2009.0065D,11/19/2009,Cancelled,,Cancelled
2009.0065V,10/23/2009,Cancelled,,Cancelled
2009.0068C,6/4/2009,Approved,,Approved
2009.0072C,3/28/2013,Cancelled,,Cancelled
2009.0080C,10/4/2012,Cancelled,,Cancelled
2009.0102D,12/17/2009,Approved,,Approved
2009.0102P,12/17/2009,Approved,18006,Approved
2009.0108V,5/15/2014,Cancelled,,Cancelled
2009.0112C,5/13/2010,Approved,,Approved
2009.0114C,8/13/2009,Approved,,Approved
2009.0117C,4/9/2009,Approved,,Approved
2009.0118D,5/18/2009,Cancelled,,Cancelled
2009.0124D,1/21/2010,Approved,DRA-0134,Approved
2009.0126C,5/28/2009,Approved,17890,Approved
2009.0155D,4/14/2011,Approved,,Approved
2009.0155D_10,4/14/2011,Approved,,Approved
2009.0155D_13,4/14/2011,Approved,,Approved
2009.0155D_16,4/14/2011,Approved,,Approved
2009.0155D_4,4/14/2011,Approved,,Approved
2009.0155D_7,4/14/2011,Approved,,Approved
2009.0158D,4/9/2009,Approved,,Approved
2009.0161D,6/25/2009,Approved,DRA-0079,Approved
2009.0172C,7/9/2009,Disapproved,17919,Disapproved
2009.0173D,3/17/2011,Approved,DRA-0204,Approved
2009.0175C,3/3/2011,Approved,,Approved
2009.0176C,4/9/2009,Approved,17859,Approved
2009.0196C,1/26/2010,Withdawn,,Withdawn
2009.0199C,5/13/2010,Approved,,Approved
2009.0228D,5/28/2009,Approved,,Approved
2009.0229D,3/23/2011,Approved,,Approved
2009.0230D,6/18/2009,Approved,,Approved
2009.0231D,7/23/2009,Approved,,Approved
2009.0232D,8/7/2009,Withdawn,,Withdawn
2009.0237X,6/11/2009,Approved,17901,Approved
2009.0251C,1/28/2010,Approved,,Approved
2009.0256D,5/28/2009,Approved,,Approved
2009.0257C,12/10/2009,Approved,,Approved
2009.0273C,6/4/2009,Approved,,Approved
2009.0278C,10/28/2010,Disapproved,18209,Disapproved
2009.0288C,12/2/2010,Approved,,Approved
2009.0291X,2/2/2012,Approved,18536,Approved
2009.0291X_3,2/2/2012,Approved,18536,Approved
2009.0295C,6/25/2009,Approved,,Approved
2009.0304C,12/3/2009,Approved,17990,Approved
2009.0305C,7/8/2009,Cancelled,,Cancelled
2009.0319X,6/11/2009,Approved,17900,Approved
2009.0322C,6/24/2010,Approved,,Approved
2009.0326C,6/18/2009,Approved,,Approved
2009.0327D,9/10/2009,Approved,,Approved
2009.0330C,11/6/2009,Cancelled,,Cancelled
2009.0335C,11/15/2010,Approved,,Approved
2009.0337D,6/18/2009,Approved,DRA-0092,Approved
2009.0340C,9/3/2009,Approved,,Approved
2009.0341C,11/5/2009,Approved,,Approved
2009.0342C,9/8/2011,Approved,18434,Approved
2009.0356C,7/23/2009,Approved,,Approved
2009.0358C,10/8/2009,Approved,17958,Approved
2009.0368D,9/30/2010,Approved,DRA-0175,Approved
2009.0370C,1/20/2011,Cancelled,,Cancelled
2009.0373D,8/13/2009,Approved,,Approved
2009.0374C,8/6/2009,Approved,,Approved
2009.0376C,4/8/2011,Cancelled,N/A,Cancelled
2009.0378C,3/10/2011,Approved,18295,Approved
2009.0396C,8/6/2009,Approved,,Approved
2009.0398C,8/13/2009,Approved,17941,Approved
2009.0400D,7/23/2009,Approved,,Approved
2009.0408C,9/10/2009,Approved,17947,Approved
2009.0411D,12/17/2009,Approved,DRA-0130,Approved
2009.0412C,4/8/2010,Approved,,Approved
2009.0417C,8/6/2009,Approved,,Approved
2009.0422X,7/31/2009,Approved,,Approved
2009.0423C,1/14/2010,Approved,,Approved
2009.0424C,12/17/2009,Approved,18000,Approved
2009.0426C,6/2/2010,Withdawn,,Withdawn
2009.0440C,2/25/2010,Approved,,Approved
2009.0455D,8/14/2009,Withdawn,,Withdawn
2009.0457C,6/24/2010,Approved,,Approved
2009.0459C,9/10/2009,Disapproved,17948,Disapproved
2009.0460C,5/2/2013,Cancelled,N/A,Cancelled
2009.0463C,3/11/2010,Approved,,Approved
2009.0464C,10/7/2010,Approved,,Approved
2009.0476C,9/3/2009,Approved,17944,Approved
2009.0479D,9/24/2009,Approved,DRA--0108,Approved
2009.0489C,7/23/2009,Approved,17925,Approved
