"RECORD ID","DATE STATUS","DATE CLOSED","RECORD STATUS DATE","RECORD STATUS"
"2018-013225STR","9/27/2018","9/27/2018","9/27/2018","Closed - Complete"
"2018-013231STR","9/27/2018","9/27/2018","9/27/2018","Closed - Complete"
"2018-013311STR","1/3/2019","1/3/2019","1/3/2019","Closed - Complete"
"2018-013481STR","10/4/2018","10/4/2018","10/4/2018","Closed - Complete"
"2018-013490STR","10/5/2018","10/5/2018","10/5/2018","Closed - Complete"
"2018-013496STR","10/4/2018","10/4/2018","10/4/2018","Closed - Complete"
"2018-013520STR","10/4/2018","10/4/2018","10/4/2018","Closed - Complete"
"2018-013525STR","10/4/2018","10/4/2018","10/4/2018","Closed - Complete"
"2018-013529STR","10/4/2018","10/4/2018","10/4/2018","Closed - Complete"
"2018-013530STR","10/4/2018","10/4/2018","10/4/2018","Closed - Complete"
"2018-013579STR","4/15/2019","4/15/2019","4/15/2019","Closed - Complete"
"2018-013605STR","4/17/2019","4/17/2019","4/17/2019","Closed - Complete"
"2018-013624STR","10/5/2018","10/5/2018","10/5/2018","Closed - Complete"
"2018-013653STR","10/5/2018","10/5/2018","10/5/2018","Closed - Complete"
"2018-013698STR","10/9/2018","10/9/2018","10/9/2018","Closed - Complete"
"2018-013733STR","10/11/2018","10/11/2018","10/11/2018","Closed - Complete"
"2018-013738STR","11/6/2018","11/6/2018","11/6/2018","Closed - Complete"
"2018-013781STR","10/11/2018","10/11/2018","10/11/2018","Closed - Complete"
"2018-013784STR","11/6/2018","11/6/2018","11/6/2018","Closed - Complete"
"2018-013787STR","3/25/2019","3/25/2019","3/25/2019","Closed - Complete"
"2018-013788STR","10/11/2018","10/11/2018","10/11/2018","Closed - Complete"
"2018-013886STR","1/29/2019","1/29/2019","1/29/2019","Closed - Complete"
"2018-014014STR","4/15/2019","4/15/2019","4/15/2019","Closed - Complete"
"2018-014044STR","10/15/2018","10/15/2018","10/15/2018","Closed - Complete"
"2018-014125STR","8/9/2019","8/9/2019","8/9/2019","Closed - Complete"
"2018-014185STR","10/17/2018","10/17/2018","10/17/2018","Closed - Complete"
"2018-014222STR","10/17/2018","10/17/2018","10/17/2018","Closed - Complete"
"2018-014258STR","8/16/2019","8/16/2019","8/16/2019","Closed - Complete"
"2018-014278STR","10/18/2018","10/18/2018","10/18/2018","Closed - Complete"
"2018-014314STR","10/25/2018","10/25/2018","10/25/2018","Closed - Complete"
"2018-014322STR","10/22/2018","10/22/2018","10/22/2018","Closed - Complete"
"2018-014364STR","10/22/2018","10/22/2018","10/22/2018","Closed - Complete"
"2018-014369STR","10/22/2018","10/22/2018","10/22/2018","Closed - Complete"
"2018-014370STR","10/22/2018","10/22/2018","10/22/2018","Closed - Complete"
"2018-014421STR","10/22/2018","10/22/2018","10/22/2018","Closed - Complete"
"2018-014461STR","10/23/2018","10/23/2018","10/23/2018","Closed - Complete"
"2018-014481STR","10/23/2018","10/23/2018","10/23/2018","Closed - Complete"
"2018-014485STR","10/23/2018","10/23/2018","10/23/2018","Closed - Complete"
"2018-014486STR","10/23/2018","10/23/2018","10/23/2018","Closed - Complete"
"2018-014493STR","10/24/2018","10/24/2018","10/24/2018","Closed - Complete"
"2018-014552STR","12/18/2018","12/18/2018","12/18/2018","Closed - Complete"
"2018-014639STR","1/31/2019","1/31/2019","1/31/2019","Closed - Complete"
"2018-014646STR","4/18/2019","4/18/2019","4/18/2019","Closed - Complete"
"2018-014647STR","10/25/2018","10/25/2018","10/25/2018","Closed - Complete"
"2018-014730STR","2/11/2019","2/11/2019","2/11/2019","Closed - Complete"
"2018-014762STR","10/29/2018","10/29/2018","10/29/2018","Closed - Complete"
"2018-014790STR","12/27/2018","12/27/2018","12/27/2018","Closed - Complete"
"2018-014797STR","2/4/2019","2/4/2019","2/4/2019","Closed - Complete"
"2018-014813STR","10/30/2018","10/30/2018","10/30/2018","Closed - Complete"
"2018-014832STR","5/20/2019","5/20/2019","5/20/2019","Closed - Complete"
"2018-014878STR","10/31/2018","10/31/2018","10/31/2018","Closed - Complete"
"2018-014895STR","10/31/2018","10/31/2018","10/31/2018","Closed - Complete"
"2018-014915STR","10/31/2018","10/31/2018","10/31/2018","Closed - Complete"
"2018-014940STR","11/2/2018","11/2/2018","11/2/2018","Closed - Complete"
"2018-014981STR","11/2/2018","11/2/2018","11/2/2018","Closed - Complete"
"2018-014983STR","12/3/2018","12/3/2018","12/3/2018","Closed - Complete"
