b1_alt_id,EXISTING_GPROC_SD_STP_NUM,EXISTING_GPROC_SD_PRO_DES,NEW_SPROC_SD_PRO_ID1,EXISTING_GPROC_SD_PROD_ID1,NEW_SPROC_SD_NXT_ID1,EXISTING_GPROC_SD_NXT_ID1,SD_PRO_DES,SD_APP_DES,RELATION_SEQ_ID
2014-003195ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
2014-003195ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
2014-003195ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
13104_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
13104_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13104_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
13269_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
13269_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
13269_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
13296_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
13296_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13296_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
13347_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Under Review,13316
13347_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13347_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
13374_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
13374_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13374_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
13375_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
13375_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13375_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
13404_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,On Hold,13316
13404_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13404_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,In Review While On Hold,13316
13456_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete,13316
13456_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
13456_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
13128_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,NULL,13316
13128_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,NULL,13316
13128_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,NULL,13316
13138_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete - Violation Abated,13316
13138_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
13138_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
12925_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete - Violation Abated,13316
12925_ENF,8,Completion Processing,18000000000000,19000000000000,00000000000000,13000000000000,Completion Processing,In Progress,13316
12925_ENF,10,On Hold,17000000000000,18000000000000,15000000000000,17000000000000,On Hold,Remove Hold,13316
13085_ENF,2,Analysis,15000000000000,17001000000000,17018000000000,19018000000000,Analysis,Analysis Complete - Violation Abated,13316
