RECORD_NO,LISTING_ID,HOST_ID,web,Service,what
2015-003390STR,968046,5284406,https://www.airbnb.com/rooms/968046,Airbnb,100
2015-003392STR,238190,285168,https://www.airbnb.com/rooms/238190,Airbnb,101
2015-003394STR,4936887,3442905,https://www.airbnb.com/rooms/4936887,Airbnb,102
2015-003395STR,23804136,5244284,https://www.airbnb.com/rooms/23804136,Airbnb,103
2015-003396STR,5918090,676500,https://www.airbnb.com/rooms/5918090,Airbnb,104
2015-003402STR,2047469,10220182,https://www.airbnb.com/rooms/2047469,Airbnb,105
2015-003414STR,1907229,2345833,https://www.airbnb.com/rooms/1907229,Airbnb,106
2015-003431STR,1005642,4085271,https://www.airbnb.com/rooms/1005642,Airbnb,107
2015-003433STR,295240,1525192,https://www.airbnb.com/rooms/295240,Airbnb,108
2015-003475STR,3112427,15816020,https://www.airbnb.com/rooms/3112427,Airbnb,109
2015-003480STR,7309852,14950298,https://www.airbnb.com/rooms/7309852,Airbnb,110
2015-003488STR,937842,2488180,https://www.airbnb.com/rooms/937842,Airbnb,111
2015-003503STR,845502,24215,https://www.airbnb.com/rooms/845502,Airbnb,112
2015-003505STR,3534282,1393654,https://www.airbnb.com/rooms/3534282,Airbnb,113
2015-003510STR,998701,5488987,https://www.airbnb.com/rooms/998701,Airbnb,114
2015-003517STR,33457138,694440,https://www.airbnb.com/rooms/33457138,Airbnb,115
2015-003562STR,1641060,6869592,https://www.airbnb.com/rooms/1641060,Airbnb,116
2015-003602STR,6238514,6249565,https://www.airbnb.com/rooms/6238514,Airbnb,117
2015-003627STR,859336,,https://www.airbnb.com/rooms/859336,Airbnb,118
2015-003684STR,5413930,24153978,https://www.airbnb.com/rooms/5413930,Airbnb,119
2015-003735STR,28160772,212709106,https://www.airbnb.com/rooms/28160772,Airbnb,120
2015-003738STR,6505426,18949688,https://www.airbnb.com/rooms/6505426,Airbnb,121
2015-003777STR,4243837,21915488,https://www.airbnb.com/rooms/4243837,Airbnb,122
2015-003802STR,351881,1781821,https://www.airbnb.com/rooms/351881,Airbnb,123
2015-003859STR,280549,1454829,https://www.airbnb.com/rooms/280549,Airbnb,124
2015-003867STR,991765,5446518,https://www.airbnb.com/rooms/991765,Airbnb,125
2015-003895STR,6643496,25709934,https://www.airbnb.com/rooms/6643496,Airbnb,126
2015-004013STR,29421648,2463273,https://www.airbnb.com/rooms/29421648,Airbnb,127
2015-004046STR,11888682,8280568,https://www.airbnb.com/rooms/11888682,Airbnb,128
2015-004054STR,6514826,27061527,https://www.airbnb.com/rooms/6514826,Airbnb,129
2015-004087STR,7856443,6076870,https://www.airbnb.com/rooms/7856443,Airbnb,130
2015-004090STR,3250486,3761768,https://www.airbnb.com/rooms/3250486,Airbnb,131
2015-004095STR,1450899,7183434,https://www.airbnb.com/rooms/1450899,Airbnb,132
2015-004097STR,2096756,,https://www.airbnb.com/rooms/2096756,Airbnb,133
2015-004134STR,2362619,5753603,https://www.airbnb.com/rooms/2362619,Airbnb,134
2015-004161STR,6423158,33511564,https://www.airbnb.com/rooms/6423158,Airbnb,135
2015-004174STR,5849626,7221947,https://www.airbnb.com/rooms/5849626,Airbnb,136
2015-004189STR,63247,290120,https://www.airbnb.com/rooms/63247,Airbnb,137
2015-004233STR,568161,2795397,https://www.airbnb.com/rooms/568161,Airbnb,138
2015-004338STR,3333870,16831526,https://www.airbnb.com/rooms/3333870,Airbnb,139
2015-004393STR,3689368,15698216,https://www.airbnb.com/rooms/3689368,Airbnb,140
2015-004477STR,1830541,9574679,https://www.airbnb.com/rooms/1830541,Airbnb,141
2015-004482STR,1421774,1513493,https://www.airbnb.com/rooms/1421774,Airbnb,142
2015-004485STR,808919,3022475,https://www.airbnb.com/rooms/808919,Airbnb,143
2015-004487STR,5222044,107595,https://www.airbnb.com/rooms/5222044,Airbnb,144
2015-004530STR,1183521,5929123,https://www.airbnb.com/rooms/1183521,Airbnb,145
2015-004606STR,561148,2758480,https://www.airbnb.com/rooms/561148,Airbnb,146
2015-004712STR,8351923,8146166,https://www.airbnb.com/rooms/8351923,Airbnb,147
2015-004757STR,795254,4189517,https://www.airbnb.com/rooms/795254,Airbnb,148
2015-005070STR,21189031,72810477,https://www.airbnb.com/rooms/21189031,Airbnb,149
2015-005088STR,1421937,7526456,https://www.airbnb.com/rooms/1421937,Airbnb,150
2015-005112STR,3324760,16785840,https://www.airbnb.com/rooms/3324760,Airbnb,151
2015-005143STR,3176619,16108021,https://www.airbnb.com/rooms/3176619,Airbnb,152
2015-005162STR,6092596,31603026,https://www.airbnb.com/rooms/6092596,Airbnb,153
2015-005169STR,13936968,,https://www.airbnb.com/rooms/13936968,Airbnb,154
2015-005296STR,4527553,1502207,https://www.airbnb.com/rooms/4527553,Airbnb,155
2015-005343STR,1618782,172177,https://www.airbnb.com/rooms/1618782,Airbnb,156
2015-005369STR,6628985,2686174,https://www.airbnb.com/rooms/6628985,Airbnb,157
2015-005455STR,470686,2335495,https://www.airbnb.com/rooms/470686,Airbnb,158
2015-005521STR,21862244,130921045,https://www.airbnb.com/rooms/21862244,Airbnb,159
2015-005635STR,43488825,8597535,https://www.airbnb.com/rooms/43488825,Airbnb,160
