RECORD ID,RECORD NAME,BAN Checklist
2019-020367STR,"2235 mission street, #5",1011636
2019-023702STR,2235 Mission Street Unit 5,1011636
2019-016615STR,185 Broad Street (Third Application),1011790
2019-017305STR,750 27th Street,1011823
2019-020392STR,1571 Underwood Avenue,1011867
2019-020379STR,33 Albion Street,1011913
2017-015663STR,221 SAN CARLOS ST,1011989
2019-018664STR,122 Hermann Street,1012028
2019-019154STR,122 Hermann Street,1012028
2019-019403STR,195 Merced Ave,1012086
2018-004912STR,319 22nd Ave,1012090
2018-004815STR,818 Hayes Street Apt #3,1012390
2018-000062STR,291 Divisadero Street,1012403
2019-021856STR,1187 SOUTH VAN NESS AVE,1012474
2019-016316STR,60 Ord Street,1012522
2018-005035STR,1426 48th Avenue,1012653
2018-004890STR,1408 Kearny Street,1012785
2019-018157STR,1408 Kearny Street,1012785
2019-020342STR,1540 Newhall St.,1013115
2020-005083STR,3864 23rd St,1013168
2017-013731STR,1360 Lyon Street Unit 5 STR,1013272
2019-019932STR,716 41st Avenue,1013333
2019-019501STR,59 Naples Street,1013358
2018-004943STR,163 Grand View Ave,1013438
2019-018146STR,163 Grand View Avenue,1013438
2019-020343STR,1227 Guerrero St,1013440
2019-020485STR,401 Madrid Street,1013458
2019-017403STR,1523 Guerrero Street,1013540
2019-019487STR,2534 21st Avenue,1013590
2019-004601STR,110 Elsie Street,1013722
2019-020218STR,861 Ashbury St #1,1013958
2020-005367STR,861 Ashbury Street Unit 1,1013958
2020-005057STR,213 Vicksburg Street,1014002
2019-023256STR,645 Prentiss St,1014461
2018-012272STR,3672 19th Street,1014467
2019-019926STR,2719 23rd Street,1014543
2019-020275STR,2719 23rd St. ,1014543
2018-004872STR,66 Joost Avenue,1014675
2020-005045STR,1520 jerrold avenue,1014692
2019-021619STR,3905 California Street Unit 2,1014856
2019-020301STR,59 Laidley Street,1014922
2018-000600STR,424 Cabrillo Street STR,1015030
2018-001963STR,424 Cabrillo Street,1015030
2019-020424STR,1774 36th Avenue,1015273
2018-000004STR,555 Bartlett Street Unit 412,1015386
2018-000063STR,555 Bartlett Street 412,1015386
2019-020501STR,236 Urbano Dr,1015440
2020-001724STR,1230 Vermont Street,1015446
2018-002234STR,41 VALPARAISO ST,1015475
2018-011107STR,255 Sanchez Street,1015599
2018-008611STR,3526 Fulton Street,1015633
2020-001202STR,848 Potrero Avenue,1015882
2018-005246STR,115 Lowell Street - Withdrawn,1016013
2019-018529STR,115 Lowell Street,1016013
2019-019020STR,115 Lowell Street,1016013
2018-000064STR,2048 Sloat Boulevard,1016039
2017-009947STR,188 Lippard Avenue STR,1016104
2019-020100STR,355 Douglass Street,1016123
2019-020450STR,355 Douglass Street,1016123
2018-004969STR,2415 Van Ness Ave. #306,1016197
2019-018183STR,2415 Van Ness Avenue Unit 306,1016197
2019-021397STR,2415 Van Ness Ave. #306,1016197
