"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"2015-005559ENF","Change of Use","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-005559ENF","Change of Use","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2015-005559ENF","Change of Use","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-005650ENF","Illegal Unit","Completion Processing","In Progress","019000000000000","000013000000000","Pending Closure"
"2015-005650ENF","Illegal Unit","On Hold","Remove Hold","018000000000000","017000000000000","Pending Closure"
"2015-005650ENF","Illegal Unit","Analysis","Analysis Complete - Violation Abated","017001000000000","019018000000000","Pending Closure"
"2015-006380ENF","3437 Mission","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-006380ENF","3437 Mission","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-006380ENF","3437 Mission","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-007000ENF","139 Sweeny","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-007000ENF","139 Sweeny","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"2015-007000ENF","139 Sweeny","Analysis","NULL","017001000000000","019018000000000","On Hold"
"2015-011269ENF","1395 SHAFTER AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011269ENF","1395 SHAFTER AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011271ENF","1290 SHAFTER AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011271ENF","1290 SHAFTER AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011271ENF","1290 SHAFTER AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011272ENF","1187 PALOU AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011272ENF","1187 PALOU AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011272ENF","1187 PALOU AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011336ENF","38 CARR ST","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011336ENF","38 CARR ST","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011336ENF","38 CARR ST","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011337ENF","1083 HOLLISTER AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011337ENF","1083 HOLLISTER AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011337ENF","1083 HOLLISTER AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011338ENF","1050 GILMAN AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011338ENF","1050 GILMAN AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011338ENF","1050 GILMAN AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011340ENF","1272 FITZGERALD AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011340ENF","1272 FITZGERALD AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011340ENF","1272 FITZGERALD AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011341ENF","947 INNES AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011341ENF","947 INNES AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011341ENF","947 INNES AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011342ENF","1656 NEWCOMB AVE","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011342ENF","1656 NEWCOMB AVE","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011342ENF","1656 NEWCOMB AVE","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"2015-011434ENF","AAU classrooms- DO NOT HOLD PERMITS","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"2015-011434ENF","AAU classrooms- DO NOT HOLD PERMITS","On Hold","NULL","018000000000000","017000000000000","On Hold"
"2015-011434ENF","AAU classrooms- DO NOT HOLD PERMITS","Analysis","NULL","017001000000000","019018000000000","On Hold"
"13374_ENF","1308 Leavenworth Street Illegal Short-Term Rentals by Owner","On Hold","NULL","018000000000000","017000000000000","Under Review"
"13374_ENF","1308 Leavenworth Street Illegal Short-Term Rentals by Owner","Analysis","NULL","017001000000000","019018000000000","Under Review"
"13375_ENF","37 Priest Street 37 Priest Street Unit A and 39 Priest Street Illegal Short-Term Rentals by Owner","Completion Processing","NULL","019000000000000","000013000000000","Under Review"
"13375_ENF","37 Priest Street 37 Priest Street Unit A and 39 Priest Street Illegal Short-Term Rentals by Owner","On Hold","NULL","018000000000000","017000000000000","Under Review"
"13375_ENF","37 Priest Street 37 Priest Street Unit A and 39 Priest Street Illegal Short-Term Rentals by Owner","Analysis","NULL","017001000000000","019018000000000","Under Review"
